iter	Passed	Remaining
0	160	160237
1	162	80896
2	163	54428
3	165	41164
4	166	33215
5	168	27960
6	170	24187
7	172	21353
8	173	19135
9	175	17356
10	176	15908
11	178	14664
12	179	13611
13	180	12713
14	181	11945
15	183	11274
16	184	10659
17	185	10105
18	185	9598
19	186	9141
20	187	8728
21	187	8353
22	188	8011
23	189	7697
24	189	7407
25	190	7140
26	191	6890
27	191	6658
28	192	6441
29	192	6238
30	193	6049
31	194	5872
32	194	5712
33	195	5555
34	196	5407
35	196	5267
36	197	5135
37	197	5010
38	198	4890
39	199	4778
40	199	4670
41	200	4568
42	200	4470
43	201	4376
44	202	4287
45	202	4202
46	203	4119
47	203	4041
48	204	3965
49	205	3896
50	205	3827
51	206	3760
52	206	3696
53	207	3635
54	208	3582
55	209	3525
56	209	3469
57	210	3415
58	210	3364
59	211	3313
60	212	3265
61	212	3217
62	213	3172
63	213	3127
64	214	3084
65	214	3042
66	215	3001
67	215	2958
68	216	2920
69	217	2883
70	217	2847
71	218	2812
72	218	2777
73	219	2744
74	219	2712
75	220	2680
76	221	2650
77	221	2619
78	222	2592
79	222	2564
80	223	2536
81	224	2508
82	224	2482
83	225	2457
84	225	2429
85	226	2405
86	226	2379
87	227	2355
88	227	2332
89	228	2310
90	229	2288
91	229	2267
92	230	2245
93	230	2225
94	231	2204
95	232	2184
96	232	2165
97	233	2145
98	233	2126
99	234	2109
100	234	2091
101	235	2071
102	235	2054
103	236	2037
104	237	2020
105	237	2004
106	238	1988
107	238	1972
108	239	1956
109	239	1941
110	240	1926
111	241	1911
112	241	1897
113	242	1882
114	242	1868
115	243	1854
116	243	1840
117	244	1827
118	244	1813
119	245	1800
120	246	1787
121	246	1775
122	247	1761
123	247	1748
124	248	1736
125	248	1724
126	249	1713
127	249	1700
128	250	1691
129	251	1681
130	251	1670
131	252	1659
132	252	1648
133	253	1638
134	254	1628
135	254	1617
136	255	1607
137	255	1596
138	256	1587
139	256	1577
140	257	1567
141	257	1558
142	258	1549
143	259	1539
144	259	1530
145	260	1521
146	260	1512
147	261	1504
148	261	1495
149	262	1486
150	262	1478
151	263	1470
152	264	1462
153	264	1454
154	265	1446
155	265	1438
156	266	1431
157	267	1423
158	267	1415
159	268	1407
160	268	1400
161	269	1393
162	269	1385
163	270	1378
164	270	1371
165	271	1364
166	272	1357
167	272	1350
168	273	1343
169	273	1336
170	274	1330
171	275	1323
172	275	1317
173	276	1310
174	276	1304
175	277	1298
176	277	1291
177	278	1286
178	279	1280
179	279	1274
180	280	1267
181	280	1261
182	281	1255
183	281	1249
184	282	1243
185	282	1237
186	283	1232
187	283	1226
188	284	1220
189	285	1215
190	285	1209
191	286	1204
192	286	1199
193	287	1193
194	287	1188
195	288	1183
196	289	1178
197	289	1172
198	290	1167
199	290	1162
200	291	1157
201	291	1152
202	292	1147
203	293	1143
204	293	1138
205	294	1134
206	294	1129
207	295	1124
208	295	1120
209	296	1115
210	297	1110
211	297	1106
212	298	1101
213	298	1097
214	299	1092
215	299	1088
216	300	1084
217	301	1079
218	301	1075
219	302	1071
220	302	1066
221	303	1062
222	303	1058
223	304	1054
224	304	1050
225	305	1046
226	306	1042
227	306	1037
228	307	1034
229	307	1030
230	308	1026
231	308	1022
232	309	1018
233	310	1014
234	310	1011
235	311	1007
236	311	1003
237	312	999
238	312	996
239	313	992
240	313	988
241	314	985
242	315	981
243	315	977
244	316	974
245	316	970
246	317	967
247	317	963
248	318	960
